Source Target Label
16 323 TRANKI_GC
16 324 TRANKI_GC
16 325 TRANKI_GC
16 326 TRANKI_GC
16 365 TRANKI_GC
16 366 TRANKI_GC
323 16 TRANKI_GC
323 371 TRANKI_GC
323 372 TRANKI_GC
323 373 TRANKI_GC
323 374 TRANKI_GC
323 375 TRANKI_GC
323 376 TRANKI_GC
323 377 TRANKI_GC
323 378 TRANKI_GC
323 379 TRANKI_GC
324 16 TRANKI_GC
324 327 TRANKI_GC
324 323 TRANKI_GC
327 329 TRANKI_GC
327 330 TRANKI_GC
327 331 TRANKI_GC
327 332 TRANKI_GC
327 333 TRANKI_GC
327 334 TRANKI_GC
327 335 TRANKI_GC
327 336 TRANKI_GC
327 337 TRANKI_GC
327 338 TRANKI_GC
327 339 TRANKI_GC
327 340 TRANKI_GC
327 341 TRANKI_GC
327 342 TRANKI_GC
327 343 TRANKI_GC
327 344 TRANKI_GC
327 345 TRANKI_GC
327 346 TRANKI_GC
327 347 TRANKI_GC
327 348 TRANKI_GC
327 349 TRANKI_GC
327 350 TRANKI_GC
327 351 TRANKI_GC
327 352 TRANKI_GC
329 327 TRANKI_GC
330 327 TRANKI_GC
331 327 TRANKI_GC
332 327 TRANKI_GC
333 327 TRANKI_GC
334 327 TRANKI_GC
335 327 TRANKI_GC
336 327 TRANKI_GC
337 327 TRANKI_GC
338 327 TRANKI_GC
339 327 TRANKI_GC
340 327 TRANKI_GC
341 327 TRANKI_GC
342 327 TRANKI_GC
343 327 TRANKI_GC
344 327 TRANKI_GC
345 327 TRANKI_GC
346 327 TRANKI_GC
347 327 TRANKI_GC
348 327 TRANKI_GC
349 327 TRANKI_GC
350 327 TRANKI_GC
351 327 TRANKI_GC
352 327 TRANKI_GC
325 16 TRANKI_GC
325 323 TRANKI_GC
325 365 TRANKI_GC
325 366 TRANKI_GC
365 323 TRANKI_GC
365 380 TRANKI_GC
365 381 TRANKI_GC
365 382 TRANKI_GC
365 383 TRANKI_GC
365 384 TRANKI_GC
365 385 TRANKI_GC
365 386 TRANKI_GC
365 387 TRANKI_GC
365 388 TRANKI_GC
365 389 TRANKI_GC
365 390 TRANKI_GC
365 391 TRANKI_GC
365 392 TRANKI_GC
365 393 TRANKI_GC
365 394 TRANKI_GC
365 395 TRANKI_GC
365 396 TRANKI_GC
365 397 TRANKI_GC
365 398 TRANKI_GC
365 399 TRANKI_GC
365 400 TRANKI_GC
380 365 TRANKI_GC
381 365 TRANKI_GC
382 365 TRANKI_GC
383 365 TRANKI_GC
384 365 TRANKI_GC
385 365 TRANKI_GC
386 365 TRANKI_GC
387 365 TRANKI_GC
388 365 TRANKI_GC
389 365 TRANKI_GC
390 365 TRANKI_GC
391 365 TRANKI_GC
392 365 TRANKI_GC
393 365 TRANKI_GC
394 365 TRANKI_GC
395 365 TRANKI_GC
396 365 TRANKI_GC
397 365 TRANKI_GC
398 365 TRANKI_GC
399 365 TRANKI_GC
400 365 TRANKI_GC
366 323 TRANKI_GC
366 401 TRANKI_GC
366 402 TRANKI_GC
366 403 TRANKI_GC
366 404 TRANKI_GC
366 405 TRANKI_GC
366 406 TRANKI_GC
401 366 TRANKI_GC
402 366 TRANKI_GC
403 366 TRANKI_GC
404 366 TRANKI_GC
405 366 TRANKI_GC
406 366 TRANKI_GC
371 323 TRANKI_GC
372 323 TRANKI_GC
372 431 TRANKI_GC
372 432 TRANKI_GC
372 433 TRANKI_GC
372 434 TRANKI_GC
372 435 TRANKI_GC
372 436 TRANKI_GC
372 437 TRANKI_GC
372 438 TRANKI_GC
372 439 TRANKI_GC
372 440 TRANKI_GC
372 441 TRANKI_GC
372 442 TRANKI_GC
372 443 TRANKI_GC
